time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/clip_range
3417,101.40279352042481,40,36.72,23,1654784,0.0001,16.03656005859375,0.9568672776222229,0.042912863194942474,31.330626487731934,0.30078125,1858,32.096920013427734,0.042476017,0.07999999076128006,0.2
3420,102.11967024645635,41,37.04,24,1656832,0.0001,16.151704788208008,0.9492631554603577,0.029263300821185112,32.24295234680176,0.3125,1859,32.096920013427734,0.04079508,0.07999999076128006,0.2
3422,102.88407009816409,42,37.39,25,1658880,0.0001,20.031606674194336,0.9491673111915588,0.042631933465600014,41.94185829162598,0.318359375,1860,32.096920013427734,0.037428465,0.07999999076128006,0.2
3424,103.7348563879927,43,37.77,25,1660928,0.0001,21.498428344726562,0.9508001804351807,0.024442887865006924,45.05373001098633,0.279296875,1861,32.096920013427734,0.03055695,0.07999999076128006,0.2
3427,104.5557825526611,44,38.11,26,1662976,0.0001,22.25006866455078,0.9445817470550537,0.010045543313026428,43.842620849609375,0.208984375,1862,32.096920013427734,0.018100519,0.07999999076128006,0.2
3429,105.05270610961459,45,38.35,26,1665024,0.0001,25.0219669342041,0.9397717714309692,0.016159552615135908,55.26382637023926,0.2421875,1863,32.096920013427734,0.021652728,0.07999999076128006,0.2
3431,105.45041584553248,46,38.57,27,1667072,0.0001,27.26949691772461,0.9424046277999878,0.027422089129686356,48.764583587646484,0.28125,1864,32.096920013427734,0.0319893,0.07999999076128006,0.2
3432,106.05481268994448,47,38.89,28,1669120,0.0001,27.074731826782227,0.9286127090454102,0.01694911066442728,56.26555061340332,0.27734375,1865,32.096920013427734,0.027202502,0.07999999076128006,0.2
3433,106.41192468077004,48,39.12,28,1671168,0.0001,37.185638427734375,0.9189350008964539,0.015529417665675282,78.60461807250977,0.2109375,1866,32.096920013427734,0.017799534,0.07999999076128006,0.2
3435,106.73994275485079,49,39.29,29,1673216,0.0001,28.82416343688965,0.9257655143737793,0.014201291371136904,66.44570922851562,0.203125,1867,32.096920013427734,0.015030686,0.07999999076128006,0.2
3437,107.45914996957012,50,39.61,29,1675264,0.0001,31.28791046142578,0.9183989763259888,0.020720097236335278,67.60308329264323,0.2877604166666667,1868,32.096920013427734,0.031002423,0.07999999076128006,0.2
3439,107.81659674336711,51,39.82,30,1677312,0.0001,40.820491790771484,0.917134702205658,0.008198792425294718,86.34269714355469,0.20572916666666666,1869,32.096920013427734,0.015943678,0.07999999076128006,0.2
