rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/std
132.14,348.6553673980905,1204224,4627,76,33,0.013123010750859976,117.74824523925781,0.234375,229.26527786254883,0.01950988,0.0001,0.2,1611,32.096920013427734,0.943063497543335,0.07999999076128006
133.94,353.8452856556498,1206272,4627,77,34,0.012236169166862964,103.11734771728516,0.2234375,201.29837036132812,0.018685738,0.0001,0.2,1612,32.096920013427734,0.9495622515678406,0.07999999076128006
134.52,355.80389901621203,1208320,4628,78,34,0.012239942094311118,102.68647766113281,0.2353515625,204.34790420532227,0.022817332,0.0001,0.2,1613,32.096920013427734,0.9291796684265137,0.07999999076128006
135.79,359.19629304824025,1210368,4629,79,34,0.016572886457045872,124.19441223144531,0.20442708333333334,237.91729736328125,0.01750609,0.0001,0.2,1614,32.096920013427734,0.9304606318473816,0.07999999076128006
138.06,366.10158177031025,1212416,4630,80,35,0.01189952033261458,102.18661499023438,0.23697916666666666,207.07050069173178,0.02157327,0.0001,0.2,1615,32.096920013427734,0.9391935467720032,0.07999999076128006
139.15,369.9719972402132,1214464,4631,81,35,0.005333222138384978,125.1510009765625,0.22135416666666666,232.44562784830728,0.018705687,0.0001,0.2,1616,32.096920013427734,0.9450337886810303,0.07999999076128006
139.33,370.97926613833476,1216512,4633,82,36,-0.0002085870752731959,94.23738861083984,0.1796875,186.48973083496094,0.014196643,0.0001,0.2,1617,32.096920013427734,0.9530587792396545,0.07999999076128006
139.33,370.4276801462664,1218560,4633,83,36,0.016051759322484333,96.6449203491211,0.26953125,187.81765747070312,0.02338981,0.0001,0.2,1618,32.096920013427734,0.9286726713180542,0.07999999076128006
139.08,369.64089839892665,1220608,4635,84,37,0.007395174354314804,87.33822631835938,0.20182291666666666,185.24348958333334,0.0155883385,0.0001,0.2,1619,32.096920013427734,0.9512685537338257,0.07999999076128006
138.97,368.28033638801605,1222656,4636,85,37,0.011934204027056694,116.4134521484375,0.19010416666666666,224.82787068684897,0.014913614,0.0001,0.2,1620,32.096920013427734,0.9319151639938354,0.07999999076128006
138.46,367.20776853939975,1224704,4637,86,37,0.008831009889642397,106.50262451171875,0.22265625,201.92451985677084,0.019520013,0.0001,0.2,1621,32.096920013427734,0.9445436000823975,0.07999999076128006
138.9,367.5706146909258,1226752,4638,87,38,0.020206370080510776,117.03715515136719,0.18098958333333334,240.84771219889322,0.013888665,0.0001,0.2,1622,32.096920013427734,0.935093879699707,0.07999999076128006
137.46,363.65193834848395,1228800,4639,88,38,0.02540932991541922,103.26622772216797,0.201171875,201.90076446533203,0.018563248,0.0001,0.2,1623,32.096920013427734,0.9471559524536133,0.07999999076128006
137.5,363.1619369061671,1230848,4640,89,39,0.008596462570130825,77.56986999511719,0.20703125,167.11170959472656,0.015402588,0.0001,0.2,1624,32.096920013427734,0.9569205641746521,0.07999999076128006
137.2,361.9396815198523,1232896,4641,90,39,0.013589589623734355,83.0293960571289,0.2548828125,179.13502883911133,0.019866051,0.0001,0.2,1625,32.096920013427734,0.9492123126983643,0.07999999076128006
137.63,363.2240505357136,1234944,4643,91,40,0.018190252827480435,71.69767761230469,0.208984375,171.57796096801758,0.020224134,0.0001,0.2,1626,32.096920013427734,0.9543704390525818,0.07999999076128006
138.39,365.8650931049547,1236992,4644,92,40,0.024209824080268543,80.25614929199219,0.2786458333333333,187.45816548665366,0.030314578,0.0001,0.2,1627,32.096920013427734,0.9358956813812256,0.07999999076128006
138.94,367.0631752697616,1239040,4645,93,40,0.02936103194952011,96.9428939819336,0.23177083333333334,196.06461079915366,0.020461617,0.0001,0.2,1628,32.096920013427734,0.9443989396095276,0.07999999076128006
140.18,370.88611090437064,1241088,4646,94,41,0.020924846331278484,92.67375183105469,0.21744791666666666,165.44074503580728,0.017692598,0.0001,0.2,1629,32.096920013427734,0.962130069732666,0.07999999076128006
142.91,379.53942071952537,1243136,4646,95,41,0.007528866020341714,88.82366180419922,0.17057291666666666,181.10693359375,0.013043758,0.0001,0.2,1630,32.096920013427734,0.918458104133606,0.07999999076128006
142.54,378.956114989357,1245184,4648,96,42,0.022952772056063015,90.2855224609375,0.19921875,180.57640584309897,0.015267182,0.0001,0.2,1631,32.096920013427734,0.9441273808479309,0.07999999076128006
143.69,382.67817533959357,1247232,4648,97,42,0.008861378456155459,77.04515838623047,0.24869791666666666,143.84847005208334,0.021179676,0.0001,0.2,1632,32.096920013427734,0.9533839225769043,0.07999999076128006
143.47,382.0160534540745,1249280,4649,98,43,0.010560060075173775,105.25965118408203,0.20833333333333334,210.95148722330728,0.015216534,0.0001,0.2,1633,32.096920013427734,0.9444912075996399,0.07999999076128006
143.76,382.862132561148,1251328,4650,99,43,0.0009612433301905791,88.95063781738281,0.18229166666666666,180.25726826985678,0.014819031,0.0001,0.2,1634,32.096920013427734,0.9548505544662476,0.07999999076128006
143.8,384.1363303159625,1253376,4651,100,44,0.015382163226604462,104.1232681274414,0.18489583333333334,210.6850382486979,0.016319966,0.0001,0.2,1635,32.096920013427734,0.9373099207878113,0.07999999076128006
143.17,382.74336227936044,1255424,4652,101,44,0.011241475741068522,66.00920104980469,0.17447916666666666,125.37865447998047,0.0138378665,0.0001,0.2,1636,32.096920013427734,0.9605790376663208,0.07999999076128006
