rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/std,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates
213.26413694321639,54,3896,103,735232,86.53,69.43028821945191,0.0003,0.2,0.9715383648872375,32.096920013427734,32.74303436279297,0.07999999076128006,0.70068359375,0.19224125,0.014806865132413805,1790
214.92740961508554,54,3897,104,737280,86.97,47.757452392578124,0.0003,0.2,0.9807389378547668,32.096920013427734,25.63689422607422,0.07999999076128006,0.716796875,0.2094829,0.019100581237580627,1795
214.2003898697499,55,3898,105,739328,86.84,43.82980756759643,0.0003,0.2,0.9807965159416199,32.096920013427734,25.644271850585938,0.07999999076128006,0.71826171875,0.37535602,0.03914991486817598,1800
223.6758422205296,55,3899,106,741376,89.97,42.15290651321411,0.0003,0.2,0.9822195768356323,32.096920013427734,20.601585388183594,0.07999999076128006,0.71884765625,0.29159316,0.024464322853600607,1805
223.34044035658854,56,3899,107,743424,89.82,53.55272054672241,0.0003,0.2,0.9726313352584839,32.096920013427734,21.985673904418945,0.07999999076128006,0.71943359375,0.33159918,0.03045312112662941,1810
223.3192800003416,56,3900,108,745472,89.83,37.82450242042542,0.0003,0.2,0.9846019744873047,32.096920013427734,16.039592742919922,0.07999999076128006,0.71298828125,0.32210383,0.013851475564297288,1815
227.39384301385653,57,3901,109,747520,91.21,51.59557790756226,0.0003,0.2,0.9788661599159241,32.096920013427734,25.610122680664062,0.07999999076128006,0.682421875,0.26755905,0.015614674333482981,1820
227.8485639464703,57,3902,110,749568,91.35,42.883780527114865,0.0003,0.2,0.9809297919273376,32.096920013427734,19.195083618164062,0.07999999076128006,0.71005859375,0.25569832,0.024648083106148987,1825
229.42278301807784,58,3902,111,751616,91.89,39.06366114616394,0.0003,0.2,0.983119547367096,32.096920013427734,17.316165924072266,0.07999999076128006,0.7705078125,0.43714443,0.04595371700124815,1830
234.32899250241024,58,3903,112,753664,93.81,32.76345553398132,0.0003,0.2,0.9877312779426575,32.096920013427734,15.624857902526855,0.07999999076128006,0.71376953125,0.22454113,0.017989569541532545,1835
