time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/loss
51,114,118.93,757760,4528,292.7754047708476,0.8439786434173584,32.096920013427734,0.07999999076128006,0.020856985822319984,0.0003,330.12542724609375,0.2,0.228515625,1393,0.01988125,143.45082092285156
51,115,120.1,759808,4530,296.2004693438048,0.8840718865394592,32.096920013427734,0.07999999076128006,0.04513344541192055,0.0003,280.9160868326823,0.2,0.36328125,1394,0.046675697,105.30149841308594
52,116,123.67,761856,4530,306.72233165471033,0.8408191800117493,32.096920013427734,0.07999999076128006,0.03264818650980791,0.0003,338.44040934244794,0.2,0.2994791666666667,1395,0.030223317,150.74217224121094
52,117,124.75,763904,4532,310.44312452236056,0.8823197484016418,32.096920013427734,0.07999999076128006,0.019890015944838524,0.0003,352.38861083984375,0.2,0.23307291666666666,1396,0.021363,149.97581481933594
53,118,127.07,765952,4534,317.84160528600546,0.816188633441925,32.096920013427734,0.07999999076128006,0.01132954191416502,0.0003,349.55433146158856,0.2,0.22265625,1397,0.017925078,143.4894561767578
53,119,128.89,768000,4535,324.4533917468218,0.875627875328064,32.096920013427734,0.07999999076128006,0.023081184675296147,0.0003,320.8519694010417,0.2,0.3203125,1398,0.03956573,150.36326599121094
54,120,130.74,770048,4536,329.55468412063436,0.790134072303772,32.096920013427734,0.07999999076128006,0.013222380230824152,0.0003,420.09131876627606,0.2,0.3072916666666667,1399,0.033692025,189.90219116210938
54,121,132.41,772096,4537,336.8976951335699,0.901087760925293,32.096920013427734,0.07999999076128006,0.012539625788728396,0.0003,270.3255920410156,0.2,0.2630208333333333,1400,0.020481976,145.3210906982422
55,122,133.98,774144,4538,342.3578391018904,0.8361108899116516,32.096920013427734,0.07999999076128006,0.02235180636246999,0.0003,373.6124674479167,0.2,0.24869791666666666,1401,0.020311924,157.26364135742188
55,123,134.38,776192,4540,345.011619615611,0.8742233514785767,32.096920013427734,0.07999999076128006,0.018343071453273296,0.0003,303.1974334716797,0.2,0.216796875,1402,0.022698354,158.4606475830078
55,124,134.05,778240,4541,344.5920542222499,0.8844425678253174,32.096920013427734,0.07999999076128006,0.013148266822099686,0.0003,372.6044616699219,0.2,0.205078125,1403,0.01967512,194.29205322265625
56,125,135.1,780288,4542,348.8646504724423,0.8382560014724731,32.096920013427734,0.07999999076128006,0.023860662477090955,0.0003,407.5521240234375,0.2,0.255859375,1404,0.028319705,193.00892639160156
56,126,134.72,782336,4544,347.6256435981855,0.8755745887756348,32.096920013427734,0.07999999076128006,0.003591010347008705,0.0003,349.0885925292969,0.2,0.224609375,1405,0.018958772,169.06483459472656
57,127,134.17,784384,4545,348.02536980353665,0.8686956167221069,32.096920013427734,0.07999999076128006,0.024128267541527748,0.0003,366.3094787597656,0.2,0.220703125,1406,0.0221692,178.84716796875
