rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/n_updates,train/clip_range,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance
72.09,224,3488,3665920,174.37640753416443,382,0.184375,2875,0.2,324.6150238037109,175.56112670898438,0.0001,0.0010761487996205688,32.096920013427734,0.07999999076128006,0.030063063,0.8376172780990601
79.35,224,3488,3667968,191.4023174313521,383,0.2124565972222222,2878,0.2,261.2403293185764,170.94955444335938,0.0001,-0.0015070540571792258,32.096920013427734,0.07999999076128006,0.032851826,0.8468255996704102
82.67,225,3488,3670016,199.4435845651036,384,0.257080078125,2880,0.2,83.56862115859985,43.78504943847656,0.0001,0.0009940265445038676,32.096920013427734,0.07999999076128006,0.021061424,0.9539855122566223
85.93,226,3488,3672064,206.49964828329513,385,0.21614583333333334,2881,0.2,117.47838592529297,48.09476852416992,0.0001,0.010980079571406046,32.096920013427734,0.07999999076128006,0.017251836,0.9340124130249023
88.52,226,3488,3674112,212.68574585799053,386,0.2294921875,2882,0.2,94.93859481811523,45.32219314575195,0.0001,0.008641680469736457,32.096920013427734,0.07999999076128006,0.018004645,0.9535025358200073
90.12,227,3488,3676160,216.27087110425046,387,0.1921875,2883,0.2,160.32331085205078,99.16328430175781,0.0001,0.006255170237272978,32.096920013427734,0.07999999076128006,0.0141984355,0.9303015470504761
90.83,227,3488,3678208,218.1644284178767,388,0.21484375,2885,0.2,92.97357864379883,55.33903884887695,0.0001,0.007318153278902173,32.096920013427734,0.07999999076128006,0.034983434,0.953016996383667
90.61,228,3488,3680256,218.77965198100054,389,0.1943359375,2886,0.2,229.5781707763672,114.48221588134766,0.0001,0.008344492875039577,32.096920013427734,0.07999999076128006,0.014982663,0.9046717882156372
91.9,228,3488,3682304,223.38217973145808,390,0.20546875,2887,0.2,153.37810363769532,86.0186767578125,0.0001,0.004602006636559963,32.096920013427734,0.07999999076128006,0.015873665,0.9389455318450928
93.98,229,3488,3684352,227.9519290739948,391,0.21028645833333334,2888,0.2,241.29363505045572,127.60041046142578,0.0001,0.0048937187530100346,32.096920013427734,0.07999999076128006,0.015035463,0.897812008857727
96.73,230,3487,3686400,233.71759048874264,392,0.264892578125,2890,0.2,51.26719784736633,18.798688888549805,0.0001,0.007621287775691599,32.096920013427734,0.07999999076128006,0.022495633,0.9804737567901611
95.14,230,3487,3688448,230.2187527071633,393,0.2591145833333333,2891,0.2,51.771252950032554,23.397220611572266,0.0001,0.02202681141595046,32.096920013427734,0.07999999076128006,0.024921,0.9813905358314514
94.86,231,3487,3690496,228.54959658459418,394,0.2515625,2892,0.2,293.7643615722656,215.49996948242188,0.0001,0.009058869257569314,32.096920013427734,0.07999999076128006,0.019512847,0.8721446394920349
95.75,231,3487,3692544,229.7545376064715,395,0.181640625,2893,0.2,102.9630184173584,47.9294319152832,0.0001,0.0033318662317469716,32.096920013427734,0.07999999076128006,0.012384861,0.9484983682632446
95.61,232,3487,3694592,230.1254258502232,396,0.1767578125,2894,0.2,141.8649024963379,144.0196533203125,0.0001,0.003144101472571492,32.096920013427734,0.07999999076128006,0.014450149,0.9442112445831299
94.38,233,3487,3696640,226.41953541246457,397,0.154296875,2895,0.2,89.17842292785645,38.632476806640625,0.0001,0.0075472726020962,32.096920013427734,0.07999999076128006,0.01243435,0.9546250700950623
96.12,233,3487,3698688,229.6732812101913,398,0.165625,2896,0.2,86.36994323730468,34.334144592285156,0.0001,0.009626175835728645,32.096920013427734,0.07999999076128006,0.0121808695,0.9660513997077942
97.63,234,3487,3700736,233.69358843085854,399,0.24386160714285715,2897,0.2,83.75933292933873,47.85304260253906,0.0001,0.014876154051827533,32.096920013427734,0.07999999076128006,0.019339476,0.9696865677833557
97.45,234,3487,3702784,233.05868001684212,400,0.22526041666666666,2898,0.2,72.67765808105469,43.88604736328125,0.0001,-0.005445956562956174,32.096920013427734,0.07999999076128006,0.017672574,0.9703888297080994
97.73,235,3487,3704832,233.6166198005127,401,0.203125,2899,0.2,179.11405181884766,59.37020492553711,0.0001,0.007501967251300812,32.096920013427734,0.07999999076128006,0.01610443,0.9487413763999939
96.14,236,3487,3706880,229.86513274023045,402,0.18229166666666666,2900,0.2,113.85443369547527,62.68718338012695,0.0001,0.009937072172760963,32.096920013427734,0.07999999076128006,0.013757666,0.9569792151451111
97.87,236,3488,3708928,234.4487304682154,403,0.236328125,2901,0.2,168.11574172973633,89.67070770263672,0.0001,0.012758124386891723,32.096920013427734,0.07999999076128006,0.01930396,0.9385862350463867
98.24,237,3488,3710976,235.4285960163358,404,0.1767578125,2902,0.2,65.44552421569824,30.128559112548828,0.0001,0.008915300015360117,32.096920013427734,0.07999999076128006,0.014067071,0.9721860885620117
97.61,237,3488,3713024,233.88374999953464,405,0.21614583333333334,2903,0.2,66.24228413899739,34.4783821105957,0.0001,0.01003608542184035,32.096920013427734,0.07999999076128006,0.017608711,0.9737525582313538
98.69,238,3488,3715072,237.11552831802078,406,0.17708333333333334,2904,0.2,103.1061503092448,62.04711151123047,0.0001,0.0024899269143740335,32.096920013427734,0.07999999076128006,0.013999544,0.9635513424873352
100.95,238,3488,3717120,243.1880710826634,407,0.232421875,2905,0.2,128.22087860107422,50.906585693359375,0.0001,0.013001580256968737,32.096920013427734,0.07999999076128006,0.01668893,0.9540113806724548
100.27,239,3488,3719168,241.68803468474874,408,0.24107142857142858,2906,0.2,56.433353424072266,23.898542404174805,0.0001,0.009591272899082728,32.096920013427734,0.07999999076128006,0.016974287,0.9752771854400635
99.28,240,3488,3721216,239.53900587988934,409,0.19270833333333334,2907,0.2,45.679091135660805,24.065412521362305,0.0001,0.012438199327637752,32.096920013427734,0.07999999076128006,0.0154674975,0.9807870984077454
100.87,240,3488,3723264,243.78075042330306,410,0.21484375,2908,0.2,70.7636947631836,27.57363510131836,0.0001,0.014735071764638027,32.096920013427734,0.07999999076128006,0.0150978,0.9668985605239868
102.31,241,3489,3725312,247.54514647250232,411,0.22578125,2909,0.2,67.52815856933594,36.416229248046875,0.0001,0.016514691710472106,32.096920013427734,0.07999999076128006,0.015849253,0.9765583276748657
102.47,241,3489,3727360,248.0461609918109,412,0.1865234375,2910,0.2,70.31939315795898,34.935943603515625,0.0001,0.007309995125979185,32.096920013427734,0.07999999076128006,0.013692286,0.9736157655715942
102.25,242,3489,3729408,247.471700901331,413,0.2041015625,2911,0.2,60.7238712310791,31.728206634521484,0.0001,0.006772776832804084,32.096920013427734,0.07999999076128006,0.014277569,0.979222297668457
102.89,243,3489,3731456,248.65485479727718,414,0.2125,2912,0.2,65.54572067260742,29.683963775634766,0.0001,0.015163792669773102,32.096920013427734,0.07999999076128006,0.016197879,0.9784412384033203
102.83,243,3489,3733504,248.50114783101202,415,0.1875,2913,0.2,59.08625793457031,29.17875099182129,0.0001,0.011249368699888388,32.096920013427734,0.07999999076128006,0.016138181,0.9785842299461365
101.44,244,3489,3735552,244.28891274594744,416,0.23046875,2914,0.2,44.08848476409912,23.44131851196289,0.0001,0.02004867815412581,32.096920013427734,0.07999999076128006,0.0179421,0.9858734011650085
100.63,244,3489,3737600,241.849702838965,417,0.203125,2915,0.2,40.55299186706543,17.463817596435547,0.0001,0.009295946452766657,32.096920013427734,0.07999999076128006,0.0161349,0.9849305152893066
100.0,245,3489,3739648,240.10955500830963,418,0.216796875,2916,0.2,54.97255992889404,27.543991088867188,0.0001,0.01086602988652885,32.096920013427734,0.07999999076128006,0.017024145,0.9805418252944946
100.23,245,3489,3741696,241.9770694410601,419,0.2119140625,2917,0.2,64.16560363769531,39.61256790161133,0.0001,0.013335302006453276,32.096920013427734,0.07999999076128006,0.017372996,0.979704737663269
100.02,246,3489,3743744,241.83877267511198,420,0.1859375,2918,0.2,89.28177795410156,49.728816986083984,0.0001,-0.0013072306290268898,32.096920013427734,0.07999999076128006,0.013753787,0.9693676233291626
101.13,247,3489,3745792,245.3170517590774,421,0.22578125,2920,0.2,48.87938117980957,24.973220825195312,0.0001,0.011200567195191979,32.096920013427734,0.07999999076128006,0.03087885,0.9824241399765015
102.04,247,3489,3747840,248.15676011729184,422,0.2669270833333333,2921,0.2,53.57529830932617,21.28546142578125,0.0001,0.020432713131109875,32.096920013427734,0.07999999076128006,0.027646346,0.9819324612617493
101.71,248,3489,3749888,247.43191953317873,423,0.20182291666666666,2922,0.2,65.57315444946289,38.84571838378906,0.0001,0.014700918768843016,32.096920013427734,0.07999999076128006,0.016134229,0.9784330725669861
102.41,248,3489,3751936,249.1053232855303,424,0.2392578125,2923,0.2,58.08646869659424,30.688867568969727,0.0001,0.006110381335020065,32.096920013427734,0.07999999076128006,0.020313332,0.9777852296829224
102.21,249,3489,3753984,248.2055283198968,425,0.2669270833333333,2924,0.2,39.46319325764974,18.542356491088867,0.0001,0.010635187849402428,32.096920013427734,0.07999999076128006,0.019657414,0.985252857208252
100.91,249,3490,3756032,245.03064749339657,426,0.2526041666666667,2925,0.2,35.92386372884115,16.624162673950195,0.0001,0.018703242763876915,32.096920013427734,0.07999999076128006,0.020067021,0.9862182140350342
100.63,250,3490,3758080,244.377953942965,427,0.19140625,2926,0.2,44.33140563964844,22.33323097229004,0.0001,0.0035010450519621372,32.096920013427734,0.07999999076128006,0.0153124025,0.982653796672821
100.78,251,3490,3760128,244.00847782421783,428,0.21744791666666666,2927,0.2,43.42237854003906,20.05225944519043,0.0001,0.016951071098446846,32.096920013427734,0.07999999076128006,0.015494347,0.9854492545127869
100.85,251,3490,3762176,243.71113517633916,429,0.220703125,2928,0.2,34.52180194854736,17.61918067932129,0.0001,0.008077822159975767,32.096920013427734,0.07999999076128006,0.017499074,0.9873765110969543
102.68,252,3490,3764224,248.82218898073734,430,0.23046875,2929,0.2,55.8802131652832,25.938106536865234,0.0001,0.012832352705299855,32.096920013427734,0.07999999076128006,0.018102834,0.9774542450904846
102.24,252,3490,3766272,247.44896623560055,431,0.21614583333333334,2930,0.2,44.716660817464195,22.343107223510742,0.0001,0.008958787967761358,32.096920013427734,0.07999999076128006,0.014978796,0.9842525124549866
102.72,253,3490,3768320,248.88175420113694,432,0.19921875,2931,0.2,54.29016240437826,25.436115264892578,0.0001,0.012180966014663378,32.096920013427734,0.07999999076128006,0.014761388,0.9776058793067932
103.12,254,3490,3770368,249.93138878526682,433,0.21223958333333334,2932,0.2,34.10247675577799,17.6777400970459,0.0001,0.01082846118758122,32.096920013427734,0.07999999076128006,0.015710406,0.9871671795845032
103.18,254,3490,3772416,250.15130841032027,434,0.2109375,2933,0.2,49.93320337931315,30.33847999572754,0.0001,0.013070334990819296,32.096920013427734,0.07999999076128006,0.015674243,0.9805883765220642
101.13,255,3490,3774464,244.07796832966855,435,0.240234375,2934,0.2,57.12081527709961,27.64905548095703,0.0001,0.016111065400764346,32.096920013427734,0.07999999076128006,0.018543314,0.9787156581878662
99.36,255,3490,3776512,238.85609355463723,436,0.1630859375,2935,0.2,64.98173141479492,35.530670166015625,0.0001,0.006751994602382183,32.096920013427734,0.07999999076128006,0.013126958,0.9794718623161316
100.06,256,3490,3778560,240.81024126546137,437,0.1689453125,2936,0.2,68.97933959960938,41.45827865600586,0.0001,0.012272175401449203,32.096920013427734,0.07999999076128006,0.0131119415,0.9761682748794556
96.77,256,3490,3780608,231.89769097265457,438,0.2936197916666667,2939,0.2,47.70909012688531,17.315427780151367,0.0001,0.009582839595774809,32.096920013427734,0.07999999076128006,0.029383406,0.97525954246521
94.18,257,3490,3782656,224.66626051232208,439,0.1943359375,2940,0.2,55.83655261993408,28.111358642578125,0.0001,0.0018998624291270971,32.096920013427734,0.07999999076128006,0.014257275,0.9771413803100586
93.87,258,3490,3784704,223.78299475470027,440,0.21484375,2941,0.2,38.86292190551758,15.954000473022461,0.0001,0.008870526961982251,32.096920013427734,0.07999999076128006,0.016595487,0.9860328435897827
92.98,258,3490,3786752,221.51559908975898,441,0.28125,2942,0.2,25.123303095499676,13.274788856506348,0.0001,0.019790665556987126,32.096920013427734,0.07999999076128006,0.024183547,0.988243818283081
91.96,259,3490,3788800,218.78442359057127,442,0.24739583333333334,2943,0.2,35.633731842041016,19.938926696777344,0.0001,0.02295912926395734,32.096920013427734,0.07999999076128006,0.02377288,0.9844917058944702
94.08,259,3490,3790848,224.50853901407902,443,0.18229166666666666,2944,0.2,95.3554916381836,36.087738037109375,0.0001,0.00626315859456857,32.096920013427734,0.07999999076128006,0.015040524,0.9558701515197754
94.88,260,3490,3792896,226.58347072565223,444,0.23307291666666666,2945,0.2,75.23140335083008,31.856517791748047,0.0001,0.008681217829386393,32.096920013427734,0.07999999076128006,0.017163092,0.9744570851325989
95.98,261,3490,3794944,229.29885210155732,445,0.15625,2946,0.2,49.811744689941406,20.99700927734375,0.0001,0.006743395701050758,32.096920013427734,0.07999999076128006,0.012927051,0.9781537652015686
97.01,261,3490,3796992,232.22073882210202,446,0.20703125,2947,0.2,35.46049976348877,18.04419708251953,0.0001,0.006991326808929443,32.096920013427734,0.07999999076128006,0.017746352,0.9872448444366455
99.12,262,3490,3799040,237.1416198452701,447,0.20078125,2948,0.2,78.042626953125,19.073257446289062,0.0001,0.01224335953593254,32.096920013427734,0.07999999076128006,0.01466607,0.9648244380950928
99.41,262,3490,3801088,237.1973233877273,448,0.1640625,2949,0.2,43.5012264251709,21.669513702392578,0.0001,0.007826099172234535,32.096920013427734,0.07999999076128006,0.0120887235,0.9828078150749207
100.81,263,3490,3803136,240.81879223225414,449,0.3059895833333333,2951,0.2,61.95600191752116,31.802703857421875,0.0001,0.012459745320181051,32.096920013427734,0.07999999076128006,0.031951174,0.9762104749679565
