time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/clip_fraction,train/learning_rate,train/explained_variance
23,1923072,72.60347853015003,30.17,3685,43,-0.005651355324382031,0.030625308,0.2,298.0307312011719,1998,32.096920013427734,733.8196772822628,0.07999999076128006,0.2877604166666667,0.0001,0.2762303948402405
24,1925120,94.11440622046518,39.37,3687,44,0.004457370610907674,0.014879598,0.2,215.31097412109375,1999,32.096920013427734,446.8992233276367,0.07999999076128006,0.185546875,0.0001,0.5451061725616455
24,1927168,116.87857223081471,49.15,3689,45,-0.008852708898484708,0.0145286145,0.2,200.53065490722656,2000,32.096920013427734,408.6205200195312,0.07999999076128006,0.175,0.0001,0.6162674427032471
25,1929216,136.70599054647855,57.33,3691,46,0.008106384027217115,0.01669057,0.2,147.9013671875,2001,32.096920013427734,303.6275394984654,0.07999999076128006,0.22600446428571427,0.0001,0.7800978422164917
26,1931264,155.7288294736885,65.05,3689,47,-0.009507954693757571,0.03637731,0.2,89.66973876953125,2005,32.096920013427734,212.78082275390625,0.07999999076128006,0.2149939903846154,0.0001,0.7986705303192139
26,1933312,163.19536517556188,68.02,3692,48,0.0011291149538010358,0.014216143,0.2,93.83160400390625,2006,32.096920013427734,212.07242431640626,0.07999999076128006,0.1953125,0.0001,0.8442789316177368
27,1935360,170.87274175521222,70.73,3693,49,0.008448935142951086,0.015893541,0.2,95.12767791748047,2007,32.096920013427734,218.75463485717773,0.07999999076128006,0.22998046875,0.0001,0.8535652160644531
27,1937408,174.5594239970465,72.48,3694,50,0.0026620911085046828,0.0234581,0.2,48.58238983154297,2009,32.096920013427734,149.03687572479248,0.07999999076128006,0.229248046875,0.0001,0.8954366445541382
28,1939456,178.77958203300344,74.4,3696,51,0.017084813863039016,0.015355697,0.2,70.91020202636719,2010,32.096920013427734,195.20787048339844,0.07999999076128006,0.209375,0.0001,0.8741843700408936
28,1941504,181.07544974913498,75.73,3698,52,0.01202730811201036,0.020536147,0.2,90.30036926269531,2011,32.096920013427734,156.02418327331543,0.07999999076128006,0.2451171875,0.0001,0.9042338728904724
29,1943552,179.72724305046316,75.75,3700,53,0.01115934904664755,0.017223654,0.2,65.21798706054688,2012,32.096920013427734,132.46593017578124,0.07999999076128006,0.20859375,0.0001,0.9251842498779297
29,1945600,184.3857710067654,77.94,3701,54,0.003530810544775291,0.028472403,0.2,51.58260726928711,2014,32.096920013427734,132.60839705033735,0.07999999076128006,0.2624289772727273,0.0001,0.9237291812896729
30,1947648,186.7967416922437,78.94,3701,55,0.016836156108183786,0.01564358,0.2,52.00341033935547,2015,32.096920013427734,126.0272741317749,0.07999999076128006,0.22802734375,0.0001,0.9338675737380981
30,1949696,188.98841748871146,79.73,3702,56,0.01610580161213875,0.016320057,0.2,57.90083312988281,2016,32.096920013427734,133.31183929443358,0.07999999076128006,0.20703125,0.0001,0.9332693219184875
31,1951744,189.87421195674054,80.22,3701,57,0.01158058037981391,0.015040767,0.2,45.97665023803711,2017,32.096920013427734,114.69831212361653,0.07999999076128006,0.20768229166666666,0.0001,0.9413171410560608
