time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/std,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/learning_rate
1138688,159,305.7823159968719,300,117.62,3850,0.44911864399909973,0.209375,-0.04206677945330739,0.020596746,0.9326838254928589,2775,0.2,294.2855094909668,-17.88006854057312,100.78240203857422,0.0003
1140736,160,321.0255855107626,301,122.28,3850,0.4492027461528778,0.21572265625,-0.04277690974995494,0.022983588,0.9465880393981934,2780,0.2,264.9067749023437,-17.88964114189148,91.51405334472656,0.0003
1142784,160,328.68670666749034,302,124.64,3850,0.44941064715385437,0.22890625,-0.04043397312052548,0.027862215,0.9323796033859253,2785,0.2,179.67274990081788,-17.899333953857422,79.56723022460938,0.0003
1144832,161,349.5233766900469,303,131.01,3850,0.4495430886745453,0.2443359375,-0.03939507915638387,0.02400478,0.8961923718452454,2790,0.2,248.5476921081543,-17.91149353981018,84.00689697265625,0.0003
1146880,161,368.14957524878207,304,136.67,3851,0.4495101869106293,0.25009765625,-0.039128480944782495,0.027534436,0.8660873174667358,2795,0.2,189.67570686340332,-17.91395506858826,68.11507415771484,0.0003
1148928,162,367.6539252278393,305,136.54,3851,0.4495759606361389,0.1716796875,-0.030981335300020875,0.016680015,0.9232326745986938,2800,0.2,292.40355453491213,-17.9150342464447,100.449462890625,0.0003
1150976,162,376.30157978712043,306,139.06,3851,0.4497511684894562,0.29658203125,-0.04503082875162363,0.044727214,0.9507204294204712,2805,0.2,88.74237842559815,-17.920575857162476,30.354673385620117,0.0003
1153024,163,389.8663368569094,307,143.22,3851,0.44990694522857666,0.29248046875,-0.03612103257328272,0.025823012,0.9217106699943542,2810,0.2,176.25174503326417,-17.934509134292604,80.8255615234375,0.0003
1155072,163,391.1443266895923,308,143.48,3851,0.4499817490577698,0.255078125,-0.039704137609805915,0.03063219,0.909009575843811,2815,0.2,117.91241512298583,-17.939440774917603,50.160804748535156,0.0003
1157120,164,395.35529028693077,309,144.69,3851,0.4503898322582245,0.30048828125,-0.03168058965820819,0.038240205,0.9175288081169128,2820,0.2,67.05340557098388,-17.955380773544313,23.913198471069336,0.0003
1159168,164,395.50327300653095,310,144.74,3850,0.45070594549179077,0.469921875,-0.03959125496912748,0.10524186,0.5902808904647827,2825,0.2,32.14644165039063,-17.98002920150757,6.316295146942139,0.0003
1161216,165,398.609759446552,311,146.0,3850,0.4510152041912079,0.49541015625,-0.0213905741693452,0.08616811,0.9200183749198914,2830,0.2,49.87641968727112,-17.998477363586424,15.09515380859375,0.0003
1163264,165,402.57185541936553,312,147.07,3850,0.4517834186553955,0.5244140625,-0.03674324150197208,0.12028815,0.9640981554985046,2835,0.2,27.97336916923523,-18.028669023513793,8.46728801727295,0.0003
1165312,166,403.22769590175477,313,147.41,3850,0.452141672372818,0.45283203125,-0.025818365276791155,0.050912026,0.8992472887039185,2840,0.2,63.20800971984863,-18.071915435791016,16.073936462402344,0.0003
1167360,166,402.9924259422462,314,147.47,3850,0.4522720277309418,0.27900390625,-0.028511618042830377,0.027704846,0.8775767683982849,2845,0.2,178.15717658996581,-18.083448314666747,64.21772003173828,0.0003
1169408,167,401.92154152380596,315,147.24,3851,0.452495276927948,0.28720703125,-0.035364572063554076,0.02781817,0.9057376384735107,2850,0.2,113.12046222686767,-18.09440679550171,41.838626861572266,0.0003
1171456,168,400.936676363912,316,147.24,3851,0.452796071767807,0.3548828125,-0.02732857143273577,0.07804217,0.9132212996482849,2855,0.2,58.31924667358398,-18.109764528274535,17.511445999145508,0.0003
1173504,168,400.229987536451,317,147.19,3847,0.4531409740447998,0.44189453125,-0.03159354117233306,0.06753914,0.7314581871032715,2860,0.2,45.80630631446839,-18.132540941238403,14.794892311096191,0.0003
